pct_tl_open_L6M,pct_tl_closed_L6M,Tot_TL_closed_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,CC_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL,time_since_recent_payment,max_recent_level_of_deliq,num_deliq_6_12mts,num_times_60p_dpd,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_12mts,num_lss,recent_level_of_deliq,CC_enq_L12m,PL_enq_L12m,time_since_recent_enq,enq_L3m,NETMONTHLYINCOME,Time_With_Curr_Empr,CC_Flag,PL_Flag,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,HL_Flag,GL_Flag,EDUCATION,Approved_Flag,MARITALSTATUS_Married,MARITALSTATUS_Single,GENDER_F,GENDER_M,last_prod_enq2_AL,last_prod_enq2_CC,last_prod_enq2_ConsumerLoan,last_prod_enq2_HL,last_prod_enq2_PL,last_prod_enq2_others,first_prod_enq2_AL,first_prod_enq2_CC,first_prod_enq2_ConsumerLoan,first_prod_enq2_HL,first_prod_enq2_PL,first_prod_enq2_others,Income_Bucket,Risk_Profile
0.0,0.0,0,0.0,0,0,0,4,1,4,0,72,18,549,29,0,0,11,0,0,0,0,0,0,29,0,0,566,0,51000,114,0,1,0.0,0.0,1,0,2,P2,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,High Income,Medium Risk
0.0,0.0,0,0.0,0,0,0,0,0,1,0,7,7,47,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,19000,50,0,0,0.0,0.0,0,0,3,P2,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,Low Income,Low Risk
0.125,0.0,0,0.0,1,0,0,0,2,6,0,47,2,302,25,8,0,10,0,0,0,0,0,0,25,0,0,587,0,18,191,0,0,0.0,0.0,1,0,1,P2,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,Low Income,Medium Risk
0.0,0.0,0,0.0,0,0,0,0,3,0,2,131,32,583,0,0,0,16,0,0,0,0,0,0,0,0,0,3951,0,15000,75,0,0,0.0,0.0,0,0,4,P1,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,Low Income,Low Risk
0.0,0.0,1,0.167,0,0,0,0,6,0,0,150,17,245,270,0,11,2,3,0,1,0,0,0,26,1,3,7,4,0,154,0,0,0.429,0.0,1,0,2,P3,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,,Medium Risk
0.0,0.0,2,0.333,0,0,0,0,6,0,5,36,8,74,133,0,2,4,0,0,0,0,0,0,133,0,0,2,1,27000,126,0,0,0.0,0.0,0,0,3,P2,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,Medium Income,High Risk
0.0,0.0,0,0.0,0,0,0,0,1,0,0,16,16,424,38,1,1,0,0,0,0,0,0,0,38,0,0,108,0,18000,122,0,0,0.0,0.0,0,0,1,P4,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,Low Income,High Risk
0.143,0.0,1,0.143,0,1,0,2,2,5,0,64,5,35,0,0,0,0,0,0,0,0,0,0,0,1,0,87,1,20000,95,1,1,0.0,0.333,0,0,3,P2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,Low Income,Low Risk
0.0,0.0,0,0.0,0,0,0,0,2,0,1,49,49,1037,31,0,0,10,0,0,0,0,0,0,31,0,0,3,1,55000,126,0,0,0.0,0.0,0,0,1,P2,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,High Income,High Risk
0.5,0.0,1,0.5,0,0,0,0,0,2,0,16,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,25000,125,0,0,0.0,0.0,0,0,1,P2,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,Low Income,Low Risk
