age,account_type,city_tier,tenure_days,account_balance,avg_monthly_spend,avg_txn_amount,avg_txn_per_day,usual_txn_hour,txn_type,txn_amount,txn_hour,txn_day_of_week,is_weekend,amount_to_avg_ratio,balance_drain_pct,hour_anomaly,velocity_24hr,new_txn_type_flag,large_round_amt_flag,days_since_last_txn,prior_fraud_complaint,fraud_type,is_fraud,account_type_enc,txn_type_enc,age_group
32,Savings,1,4924,50962,12306,839,3,9,NEFT,716,10,2,0,0.85,1.4,0,2,0,0,2,0,None,0,2,5,26-40
52,Salary,1,3961,167688,50148,3120,1,8,IMPS,6147,12,4,0,1.97,3.67,0,3,0,0,0,0,None,0,1,4,41-60
65,Current,2,346,174684,56926,9083,1,11,CASH_OUT,21573,12,6,1,2.37,12.35,0,1,0,0,0,0,None,0,0,2,60+
40,Savings,3,1714,179126,60082,13555,3,8,UPI,5808,6,0,0,0.43,3.24,0,2,0,0,0,0,None,0,2,6,26-40
45,Savings,2,212,24335,6313,623,3,16,CASH_OUT,1022,16,0,0,1.64,4.2,0,2,0,0,0,0,None,0,2,2,41-60
21,Salary,1,3317,35137,2387,166,1,20,UPI,191,18,5,1,1.14,0.54,0,3,0,0,1,0,None,0,1,6,18-25
39,Savings,3,2258,158770,8234,546,3,11,UPI,831,10,3,0,1.52,0.52,0,2,0,0,2,0,None,0,2,6,26-40
21,Current,1,3168,241050,42818,2779,2,13,NEFT,4276,13,1,0,1.54,1.77,0,2,0,0,0,0,None,0,0,5,18-25
49,Current,3,472,222997,51253,2929,3,20,CASH_OUT,1336,20,5,1,0.46,0.6,0,3,0,0,2,0,None,0,0,2,41-60
29,Salary,2,824,173312,48390,3646,1,11,CASH_OUT,7763,14,2,0,2.13,4.48,0,1,0,0,0,0,None,0,1,2,26-40
66,Salary,3,1845,45796,14072,840,1,13,NEFT,691,12,4,0,0.82,1.51,0,1,0,0,0,0,None,0,1,5,60+
67,Current,1,1471,378302,131498,8914,1,9,CASH_IN,14916,6,3,0,1.67,3.94,0,1,0,0,2,0,None,0,0,1,60+
52,Current,3,3020,357776,111325,6023,3,16,IMPS,5851,17,4,0,0.97,1.64,0,1,0,0,1,0,None,0,0,4,41-60
45,Savings,3,3892,94335,7243,504,1,19,NEFT,1223,16,4,0,2.42,1.3,0,2,0,0,0,0,None,0,2,5,41-60
21,Savings,2,2272,112238,17071,3693,2,20,UPI,2437,21,5,1,0.66,2.17,0,2,0,0,0,0,None,0,2,6,18-25
46,Savings,2,2155,200283,16283,1149,2,16,UPI,14360,16,0,0,12.49,7.17,0,1,1,0,0,0,Phishing,1,2,6,41-60
68,Savings,1,457,141242,8736,871,4,8,BILL_PAY,2154,8,0,0,2.47,1.53,1,1,0,0,0,0,None,0,2,0,60+
25,Salary,1,143,195702,11225,966,5,15,UPI,855,12,0,0,0.88,0.44,0,1,0,0,0,0,None,0,1,6,18-25
49,Savings,3,188,41341,8111,508,2,11,UPI,7111,15,2,0,13.97,17.2,0,1,1,0,1,0,Phishing,1,2,6,41-60
67,Savings,3,3772,61422,8934,698,2,13,CASH_OUT,222,10,3,0,0.32,0.36,0,4,0,0,3,0,None,0,2,2,60+
35,Savings,3,2341,11523,1196,62,2,14,UPI,48,15,5,1,0.76,0.42,0,2,0,0,2,0,None,0,2,6,26-40
32,Current,2,2446,162283,36352,2274,1,14,UPI,1188,13,3,0,0.52,0.73,0,1,0,0,7,0,None,0,0,6,26-40
35,Savings,3,2961,156503,15959,938,1,16,IMPS,125517,13,5,1,50.0,80.2,0,2,0,0,0,0,Unauthorized_Transfer,1,2,4,26-40
46,Savings,1,687,14545,1224,85,3,16,UPI,10405,3,1,0,50.0,71.53,0,8,1,0,0,1,SIM_Swap,1,2,6,41-60
67,Savings,2,1493,175752,28966,5549,2,20,UPI,9698,20,3,0,1.75,5.52,0,2,0,0,0,0,None,0,2,6,60+
53,Salary,2,2829,54537,3119,352,2,15,IMPS,870,16,6,1,2.46,1.6,0,1,0,0,7,0,None,0,1,4,41-60
31,Savings,2,3256,127311,23413,1463,2,16,UPI,3488,18,4,0,2.38,2.74,0,1,0,0,2,0,None,0,2,6,26-40
50,Savings,2,2208,64729,15088,3249,2,15,IMPS,6494,13,4,0,2.0,10.03,0,1,0,0,2,0,None,0,2,4,41-60
66,Salary,1,4615,189252,36146,7305,3,15,UPI,6616,18,2,0,0.91,3.5,0,2,0,0,1,0,None,0,1,6,60+
38,Current,1,3142,272197,35149,1955,1,14,IMPS,266704,3,0,0,50.0,97.98,1,4,1,0,2,1,Account_Takeover,1,0,4,26-40
21,Savings,2,994,90765,24745,3206,3,21,IMPS,1452,23,1,0,0.45,1.6,0,1,0,0,1,0,None,0,2,4,18-25
56,Savings,2,868,261514,35528,2196,3,11,NEFT,193419,23,5,1,50.0,73.96,1,4,1,0,1,0,Account_Takeover,1,2,5,41-60
39,Savings,1,1443,94735,29676,5343,3,9,CASH_OUT,25000,2,4,0,4.68,26.39,1,4,1,1,0,0,Card_Skimming,1,2,2,26-40
34,Savings,2,918,153185,26439,1957,3,9,UPI,3252,7,0,0,1.66,2.12,0,2,0,0,1,0,None,0,2,6,26-40
51,Salary,3,1686,92201,17005,1432,1,10,CASH_OUT,732,8,6,1,0.51,0.79,0,2,0,0,0,0,None,0,1,2,41-60
52,Current,2,303,123946,21721,1411,1,20,NEFT,1966,18,6,1,1.39,1.59,0,2,0,0,0,0,None,0,0,5,41-60
20,Savings,1,4590,62141,6926,810,1,15,CASH_OUT,1925,14,5,1,2.37,3.1,0,3,0,0,2,0,None,0,2,2,18-25
49,Savings,1,2883,108049,8078,725,2,13,DEBIT_CARD,1438,9,3,0,1.98,1.33,0,2,0,0,0,0,None,0,2,3,41-60
65,Salary,1,1138,73532,21583,2390,2,16,IMPS,5373,14,6,1,2.25,7.31,0,2,0,0,2,0,None,0,1,4,60+
42,Current,3,4568,276123,50082,3801,2,16,NEFT,183684,18,0,0,48.31,66.52,0,1,1,0,1,0,Unauthorized_Transfer,1,0,5,41-60
49,Savings,1,1552,140301,26111,3271,1,18,UPI,2744,16,0,0,0.84,1.96,0,1,0,0,0,0,None,0,2,6,41-60
22,Current,2,607,295617,44985,2720,2,8,NEFT,5720,6,1,0,2.1,1.93,0,2,0,0,0,0,None,0,0,5,18-25
40,Savings,3,296,22244,6706,885,1,13,DEBIT_CARD,1456,15,6,1,1.64,6.55,0,3,0,0,3,0,None,0,2,3,26-40
28,Savings,1,1698,79382,16470,1354,3,12,UPI,3046,10,2,0,2.25,3.84,0,3,0,0,1,0,None,0,2,6,26-40
64,Savings,1,3174,58828,14944,1082,2,10,BILL_PAY,1258,9,4,0,1.16,2.14,0,1,0,0,0,0,None,0,2,0,60+
50,Current,2,3869,156634,31132,3433,1,13,IMPS,114236,1,0,0,33.27,72.93,1,7,1,0,1,0,SIM_Swap,1,0,4,41-60
59,Current,1,4056,95031,13772,1573,2,20,UPI,2675,17,5,1,1.7,2.81,0,1,0,0,0,0,None,0,0,6,41-60
27,Savings,2,1220,49581,10255,818,1,8,NEFT,1393,10,4,0,1.7,2.81,0,1,0,0,3,0,None,0,2,5,26-40
42,Current,3,3131,385453,79701,4007,2,9,CASH_OUT,3678,8,0,0,0.92,0.95,0,1,0,0,7,0,None,0,0,2,41-60
43,Savings,1,3534,53609,9419,1221,3,10,NEFT,1985,11,3,0,1.62,3.7,0,1,0,0,1,0,None,0,2,5,41-60
58,Current,2,3363,82640,8033,402,1,17,IMPS,60846,13,4,0,50.0,73.63,0,1,1,0,1,0,Unauthorized_Transfer,1,0,4,41-60
63,Salary,2,1418,293914,96790,7458,2,10,UPI,42553,10,3,0,5.7,14.48,0,2,0,0,0,1,Phishing,1,1,6,60+
36,Current,1,1634,129648,42390,2524,2,21,NEFT,3547,19,6,1,1.4,2.74,0,1,0,0,0,0,None,0,0,5,26-40
41,Savings,1,3278,3779,1068,80,3,8,CASH_OUT,64,7,6,1,0.79,1.69,0,2,0,0,1,0,None,0,2,2,41-60
61,Savings,1,1463,47028,4128,903,1,20,IMPS,38546,23,6,1,42.64,81.96,0,8,1,0,2,0,SIM_Swap,1,2,4,60+
57,Savings,1,880,178066,55272,3219,2,18,NEFT,167023,0,6,1,50.0,93.8,1,6,1,0,0,1,Account_Takeover,1,2,5,41-60
35,Current,2,3702,185047,55264,4867,2,13,UPI,11793,12,0,0,2.42,6.37,0,2,0,0,0,0,None,0,0,6,26-40
69,Current,3,3904,366595,53977,3705,1,14,CASH_OUT,1301,16,1,0,0.35,0.35,0,2,0,0,3,0,None,0,0,2,60+
58,Savings,3,744,166284,36838,3753,3,17,DEBIT_CARD,4938,14,4,0,1.32,2.97,0,1,0,0,0,0,None,0,2,3,41-60
67,Savings,2,2750,166250,25502,5884,3,12,BILL_PAY,2456,16,2,0,0.42,1.48,0,1,0,0,0,0,None,0,2,0,60+
